date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2017-10-10,2549.99,2555.23,2544.86,2550.64,0,5.91,0.23%,2550.64,N/A,0
2017-10-09,2551.39,2551.82,2541.60,2544.73,0,-4.60,-0.18%,2544.73,N/A,0
2017-10-06,2547.44,2549.41,2543.79,2549.33,0,-2.74,-0.11%,2549.33,N/A,0
2017-10-05,2540.86,2552.51,2540.02,2552.07,0,14.33,0.56%,2552.07,N/A,0
2017-10-04,2533.48,2540.53,2531.80,2537.74,0,3.16,0.12%,2537.74,N/A,0
2017-10-03,2530.34,2535.13,2528.85,2534.58,0,5.46,0.22%,2534.58,N/A,0
2017-10-02,2521.20,2529.23,2520.40,2529.12,0,9.76,0.39%,2529.12,N/A,0
2017-09-29,2509.96,2519.44,2507.99,2519.36,0,9.30,0.37%,2519.36,N/A,0
2017-09-28,2503.41,2510.81,2502.93,2510.06,0,3.02,0.12%,2510.06,N/A,0
2017-09-27,2503.30,2511.75,2495.91,2507.04,0,10.20,0.41%,2507.04,N/A,0
2017-09-26,2501.04,2503.51,2495.12,2496.84,0,0.18,0.01%,2496.84,N/A,0
2017-09-25,2499.39,2502.54,2488.03,2496.66,0,-5.56,-0.22%,2496.66,N/A,0
2017-09-22,2497.26,2503.47,2496.54,2502.22,0,1.62,0.06%,2502.22,N/A,0
2017-09-21,2507.16,2507.16,2499.00,2500.60,0,-7.64,-0.30%,2500.60,N/A,0
2017-09-20,2506.84,2508.85,2496.67,2508.24,0,1.59,0.06%,2508.24,N/A,0
2017-09-19,2506.29,2507.84,2503.19,2506.65,0,2.78,0.11%,2506.65,N/A,0
2017-09-18,2502.51,2508.32,2499.92,2503.87,0,3.64,0.15%,2503.87,N/A,0
2017-09-15,2495.67,2500.23,2493.16,2500.23,0,4.61,0.18%,2500.23,N/A,0
2017-09-14,2494.56,2498.43,2491.35,2495.62,0,-2.75,-0.11%,2495.62,N/A,0
2017-09-13,2493.89,2498.37,2492.14,2498.37,0,1.89,0.08%,2498.37,N/A,0
2017-09-12,2491.94,2496.77,2490.37,2496.48,0,8.37,0.34%,2496.48,N/A,0
2017-09-11,2474.52,2488.95,2474.52,2488.11,0,26.68,1.08%,2488.11,N/A,0
2017-09-08,2462.25,2467.11,2459.40,2461.43,0,-3.67,-0.15%,2461.43,N/A,0
2017-09-07,2468.06,2468.62,2460.29,2465.10,0,-0.44,-0.02%,2465.10,N/A,0
2017-09-06,2463.83,2469.64,2459.20,2465.54,0,7.69,0.31%,2465.54,N/A,0
2017-09-05,2470.35,2471.97,2446.55,2457.85,0,-18.70,-0.76%,2457.85,N/A,0
2017-09-01,2474.42,2480.38,2473.85,2476.55,0,4.90,0.20%,2476.55,N/A,0
2017-08-31,2462.65,2475.01,2462.65,2471.65,0,14.06,0.57%,2471.65,N/A,0
2017-08-30,2446.06,2460.31,2443.77,2457.59,0,11.29,0.46%,2457.59,N/A,0
2017-08-29,2431.94,2449.19,2428.20,2446.30,0,2.06,0.08%,2446.30,N/A,0
2017-08-28,2447.35,2449.12,2439.03,2444.24,0,1.19,0.05%,2444.24,N/A,0
2017-08-25,2444.72,2453.96,2442.22,2443.05,0,4.08,0.17%,2443.05,N/A,0
2017-08-24,2447.91,2450.39,2436.19,2438.97,0,-5.07,-0.21%,2438.97,N/A,0
2017-08-23,2444.88,2448.91,2441.42,2444.04,0,-8.47,-0.35%,2444.04,N/A,0
2017-08-22,2433.75,2454.77,2433.67,2452.51,0,24.14,0.99%,2452.51,N/A,0
2017-08-21,2425.50,2430.58,2417.35,2428.37,0,2.82,0.12%,2428.37,N/A,0
2017-08-18,2427.64,2440.27,2420.69,2425.55,0,-4.46,-0.18%,2425.55,N/A,0
2017-08-17,2462.95,2465.02,2430.01,2430.01,0,-38.10,-1.54%,2430.01,N/A,0
2017-08-16,2468.63,2474.93,2463.86,2468.11,0,3.50,0.14%,2468.11,N/A,0
2017-08-15,2468.66,2468.90,2461.61,2464.61,0,-1.23,-0.05%,2464.61,N/A,0
2017-08-14,2454.96,2468.22,2454.96,2465.84,0,24.52,1.00%,2465.84,N/A,0
2017-08-11,2441.04,2448.09,2437.85,2441.32,0,3.11,0.13%,2441.32,N/A,0
2017-08-10,2465.38,2465.38,2437.75,2438.21,0,-35.81,-1.45%,2438.21,N/A,0
2017-08-09,2465.35,2474.41,2462.08,2474.02,0,-0.90,-0.04%,2474.02,N/A,0
2017-08-08,2478.35,2490.87,2470.32,2474.92,0,-5.99,-0.24%,2474.92,N/A,0
2017-08-07,2477.14,2480.95,2475.88,2480.91,0,4.08,0.16%,2480.91,N/A,0
2017-08-04,2476.88,2480.00,2472.08,2476.83,0,4.67,0.19%,2476.83,N/A,0
2017-08-03,2476.03,2476.03,2468.85,2472.16,0,-5.41,-0.22%,2472.16,N/A,0
2017-08-02,2480.38,2480.38,2466.48,2477.57,0,1.22,0.05%,2477.57,N/A,0
2017-08-01,2477.10,2478.51,2471.14,2476.35,0,6.05,0.24%,2476.35,N/A,0
2017-07-31,2475.94,2477.96,2468.53,2470.30,0,-1.80,-0.07%,2470.30,N/A,0
2017-07-28,2469.12,2473.53,2464.66,2472.10,0,-3.32,-0.13%,2472.10,N/A,0
